Match Number ,Team Number,Autozone Totes,Moved Into Auto Zone,Bins Retrieved from Step,Stacks,Binned Stacks,Noodled Stacks,Coop Totes Placed,Intake Human,Intake Landfill,Number of Capped Stacks 1,Number of Capped Stacks 2,Number of Capped Stacks 3,Number of Capped Stacks 4,Number of Capped Stacks 5,Number of Capped Stacks 6,Number of Stacks 1,Number of Stacks 2,Number of Stacks 3,Number of Stacks 4,Number of Stacks 5,Number of Stacks 6
50,1678,0,0,0,3,3,3,0,1,0,0,0,0,0,2,1,0,0,0,0,2,1
50,5026,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
50,687,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50,971,0,1,0,5,3,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3
50,1983,0,0,0,2,2,2,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1
50,3476,0,0,0,4,3,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,3
51,604,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,841,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
51,254,0,0,0,5,4,1,0,1,1,0,0,0,0,0,4,0,0,0,0,0,5
51,696,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
51,696,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
51,5012,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
51,973,0,0,2,4,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2
52,5499,0,0,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0
52,1836,0,0,0,3,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0
52,1671,0,0,0,3,3,2,0,1,0,0,0,0,0,1,2,0,0,0,0,1,2
52,3859,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
52,1351,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,971,0,1,1,3,3,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,2
53,2085,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,670,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
53,604,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
53,4543,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2085,0,0,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
53,649,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
54,5499,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,841,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
54,5012,0,1,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
54,696,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
54,3309,3,1,0,3,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0
54,3476,0,0,0,3,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2
