Match Number,Team Number,Autonomous Path,Auto Cross Line,Auto Switch Cubes,Auto Scale Cubes,Own Switch Cubes Teleop,Scale Cubes Teleop,Opponent Switch Cubes Teleop,Exchange Cubes,Single Climb,Climb + 1 Buddy,Climb + 2 Buddies,Played Defense
2,5212,"[[246,308],[246,306],[246,299],[247,289],[248,284],[248,279],[249,269],[249,264],[249,259],[249,254],[249,249],[249,244],[248,239],[248,234],[247,230],[247,225],[247,215],[247,211],[247,207],[247,203],[247,200],[247,197],[247,195],[247,191],[247,189],[247,188],[247,187]]",1,0,0,0,0,0,3,0,0,0,0
3,6390,"[[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null],[null,null]]",1,1,0,0,0,6,0,0,0,0,0
3,3476,[],0,0,0,0,1,0,0,0,0,0,0
3,408,"[[235,357],[235,348],[237,336],[238,323],[239,310],[240,300],[241,288],[241,278],[242,269],[243,258],[245,247],[245,236],[246,226],[247,215],[248,206],[248,196],[248,188],[248,182],[248,174],[248,168],[248,161],[248,155],[248,147],[248,139],[248,132],[248,125],[248,118],[247,110],[247,103],[246,97],[246,91],[245,85],[245,78],[243,72],[242,64],[241,58],[241,51],[240,45],[239,41],[238,36],[237,32],[235,28],[234,25],[233,22],[232,21],[231,19],[230,18],[229,18],[228,18],[227,18],[226,18],[225,18],[224,18],[223,18],[222,18],[223,18],[224,18],[225,18],[226,18],[227,18],[228,18],[229,18],[230,19],[230,20],[232,21],[233,24],[234,25],[235,28],[236,29],[237,30],[238,32],[239,33],[239,34],[239,35],[239,36],[239,38],[239,40],[239,41],[239,44],[239,45],[239,48],[239,50],[239,54],[239,57],[239,60],[239,62],[239,64],[239,66],[238,68],[238,69],[238,70],[238,72],[238,73],[238,74],[238,76],[237,78],[236,80],[235,83],[234,87],[231,91],[229,96],[227,99],[226,103],[225,104],[225,105],[225,106],[224,107],[223,107],[222,108],[222,109],[221,110],[219,111],[218,111],[217,112],[215,113],[214,115],[214,116],[213,116],[213,117],[212,117],[211,117],[210,117],[210,116],[210,115],[211,113],[212,112],[213,111],[214,109],[214,108],[215,107],[216,105],[217,103],[218,102],[218,100],[219,99],[220,97],[221,95],[222,93],[222,91],[223,88],[224,85],[225,82],[226,78],[226,74],[227,71],[228,67],[230,64],[230,60],[231,57],[232,54],[232,51],[232,48],[232,47],[232,45],[232,44],[232,43],[232,42],[232,40],[232,39],[232,38],[232,36],[232,35],[232,34],[232,33],[231,33],[230,33],[229,33],[228,33],[226,33],[225,33],[224,33],[223,33],[215,33]]",1,0,1,1,2,0,2,0,0,0,1
3,7152,"[[189,337],[189,334],[189,331],[189,326],[189,319],[189,312],[189,305],[189,297],[189,290],[189,282],[189,274],[189,267],[189,260],[189,252],[189,245],[189,238],[189,230],[189,225],[189,219],[189,215],[189,211],[189,208],[189,206],[189,204],[189,203],[189,202],[190,202]]",1,0,0,2,0,1,0,0,0,0,0
3,4802,"[[228.353515625,342.28125],[227.650390625,339.78125],[227.298828125,325.5625],[227.5625,297.125],[229.759765625,271.96875],[231.78125,254.78125],[235.033203125,239.15625],[238.63671875,225.5625],[242.6796875,212.4375],[245.931640625,199.625],[249.0078125,187.59375],[252.69921875,179.3125],[255.16015625,173.6875],[257.181640625,168.6875],[259.37890625,163.53125],[261.3125,159],[262.806640625,155.25],[263.509765625,152.28125],[263.861328125,150.5625],[264.212890625,150.09375],[264.212890625,149.9375]]",1,0,0,0,0,0,8,0,0,0,0
4,1775,[],0,0,0,0,0,0,0,0,0,0,0
4,6887,"[[219.916015625,350.21875],[219.212890625,350.53125],[218.509765625,350.84375],[217.806640625,351.15625],[217.279296875,351.15625],[216.751953125,350.84375],[216.400390625,349.90625],[217.71875,334.4375],[221.673828125,307.875],[226.15625,289.90625],[230.462890625,272.875],[234.9453125,257.25],[239.251953125,243.8125],[242.767578125,234.28125],[245.140625,226.9375],[247.337890625,220.84375],[249.53515625,215.6875],[251.908203125,211.625],[252.611328125,208.96875],[253.138671875,206.3125],[253.2265625,204.59375],[253.05078125,203.34375],[252.875,202.5625],[252.69921875,201.9375],[252.5234375,201.3125],[252.34765625,200.6875],[252.435546875,200.375]]",1,0,0,1,1,0,0,0,0,0,0
3,4191,[],1,0,0,0,1,0,5,0,0,0,0
4,6957,[],1,1,0,3,0,0,6,0,0,0,0
4,2584,"[[71,337],[70,333],[69,328],[68,324],[68,319],[67,314],[66,309],[66,304],[65,299],[64,295],[64,290],[64,286],[63,283],[63,279],[62,274],[62,271],[61,267],[61,264],[61,260],[60,257],[60,254],[59,250],[58,247],[57,244],[57,241],[56,239],[56,235],[54,232],[53,229],[52,227],[51,223],[50,221],[49,218],[47,216],[46,213],[45,211],[44,208],[43,205],[42,201],[42,199],[41,197],[41,195],[40,193],[40,192],[40,190],[40,189],[40,187],[40,185],[40,184],[40,183],[40,182],[40,181],[41,181],[42,180],[44,179],[46,179],[48,178],[51,177],[54,177],[56,177],[57,176],[59,176],[61,176],[62,176],[63,176],[64,176],[65,176],[64,179],[68,179],[71,179],[75,179],[79,179],[84,179]]",1,1,0,1,2,0,0,0,0,0,0
4,4159,"[[245,328],[245,323],[245,318],[246,302],[247,283],[248,273],[249,253],[249,243],[250,227],[250,219],[250,211],[250,200],[250,190],[250,185],[250,181],[250,178],[252,175],[254,172],[256,171]]",1,0,0,2,0,0,9,0,0,0,1
4,1072,"[[153.33299255371094,336.176025390625],[153,336],[153,336],[153,336],[153,336],[152.66700744628906,330.40802001953125],[152,329],[153.33299255371094,320.21697998046875],[153.33299255371094,315.177978515625],[154,304],[154,300],[153.20199584960938,292.94000244140625],[152.66700744628906,289.56597900390625],[148.3560028076172,282.86700439453125],[144.26699829101562,278.86700439453125],[140.82699584960938,275.4940185546875],[137.47000122070312,272.13702392578125],[133.46200561523438,266.8809814453125],[126.08399963378906,257.02899169921875],[123.40899658203125,252.76800537109375],[121.18600463867188,248.6309814453125],[119.14100646972656,243.23199462890625],[117.66700744628906,236.3330078125]]",1,1,0,0,1,2,0,0,0,0,0
5,5410,"[[225,346],[225,343],[225,339],[225,335],[225,331],[224,327],[224,322],[224,317],[224,312],[224,308],[224,304],[224,300],[224,297],[224,294],[224,290],[224,287],[224,283],[224,279],[224,275],[224,270],[224,267],[224,263],[224,259],[224,255],[224,252],[224,249],[224,246],[224,243],[224,240],[224,237],[224,235],[224,232],[224,230],[224,228],[224,225],[225,223],[225,221],[225,219],[226,216],[226,214],[226,212],[226,210],[226,207],[226,204],[226,202],[227,200],[227,198],[227,196],[227,194],[227,192],[227,190],[227,188],[227,187],[227,185],[227,184],[227,182],[227,180],[227,178],[227,176],[227,175],[227,173],[227,172],[227,171],[227,170],[227,169],[228,168]]",1,0,0,1,0,0,8,0,0,0,1
