Match Number,Team Number,Autonomous Path,Auto Cross Line,Auto Switch Cubes,Auto Scale Cubes,Own Switch Cubes Teleop,Scale Cubes Teleop,Opponent Switch Cubes Teleop,Exchange Cubes,Single Climb,Climb + 1 Buddy,Climb + 2 Buddies,Played Defense
3,3512,"[[57,337],[57,333],[57,328],[56,320],[55,310],[55,300],[54,290],[53,279],[53,269],[53,260],[53,251],[53,242],[53,233],[53,225],[53,218],[53,211],[53,204],[54,198],[54,192],[55,186],[56,181],[56,175],[57,170],[57,165],[58,160],[58,156],[59,152],[59,147],[60,143],[60,139],[61,136],[62,132],[62,129],[63,125],[64,122],[65,118],[66,114],[67,111],[67,108],[68,104],[69,101],[70,98],[70,96],[71,93],[72,90],[73,87],[74,85],[74,82],[75,80],[75,77],[75,74],[75,71],[75,68],[75,65],[75,62],[75,59],[76,57],[76,55],[76,53],[76,51],[76,49],[76,48],[76,46],[76,45],[77,43],[77,42],[77,41],[77,39],[77,38],[78,37],[78,36],[78,34],[78,33],[79,32]]",1,0,1,0,1,0,6,0,0,1,0
3,4911,"[[237,310],[237,303],[238,294],[240,281],[240,263],[241,244],[242,223],[246,191],[247,179],[247,167],[247,158],[247,146],[247,135],[248,124],[248,115],[248,109],[248,105],[248,102],[247,99],[246,98],[244,97],[243,96],[241,96],[240,96],[238,96],[236,96],[234,96],[232,96],[231,96],[228,96],[224,96],[219,97],[210,98],[202,99],[193,99],[184,99],[176,99],[170,99],[164,99],[158,99],[150,99],[142,99],[132,99],[123,99],[117,99],[111,99],[106,99],[101,99],[96,99],[91,99],[86,99],[81,99],[77,99],[75,99],[74,99],[71,99],[70,99],[67,99],[66,99],[64,99],[64,96],[64,93],[64,89],[64,85],[64,82],[64,80],[64,78],[64,75],[64,72],[64,68],[64,64],[64,60],[64,57],[64,55],[64,53],[64,51],[64,50],[64,47],[64,44]]",1,0,1,0,0,0,0,0,0,0,1
3,4159,"[[115,340],[115,334],[115,327],[113,318],[110,309],[106,300],[102,291],[96,280],[91,273],[86,266],[79,258],[71,250],[64,245],[56,239],[49,234],[42,229],[37,226],[32,223],[28,221],[25,219],[23,218],[22,217]]",0,0,0,1,0,0,3,0,0,0,0
3,2659,[],1,0,0,1,5,1,0,0,0,0,0
3,696,"[[205,312],[208,308],[213,301],[217,293],[222,284],[230,274],[236,267],[243,258],[251,249],[259,240],[266,230],[272,219],[276,211],[280,204],[284,198],[289,191],[295,183]]",1,0,0,0,3,0,0,0,0,1,1
4,4183,"[[114,10],[114,11],[114,10],[113,12],[112,12],[112,13],[111,13],[108,6],[112,13],[113,11],[112,11],[112,9],[113,8],[114,9]]",1,0,0,2,0,0,3,0,0,0,0
4,1323,"[[154,344],[154,340],[154,336],[154,332],[154,328],[154,324],[153,318],[152,313],[151,309],[150,305],[148,302],[146,298],[145,296],[143,294],[142,291],[141,289],[139,287],[138,285],[137,283],[135,281],[134,278],[133,276],[131,275],[130,273],[128,271],[127,269],[126,267],[125,266],[124,263],[123,260],[122,257],[120,254],[119,251],[118,249],[118,246],[117,243],[116,241],[115,239],[115,236],[114,234],[114,232],[114,231],[114,229],[113,227],[113,225],[113,223],[112,220],[112,218],[112,216],[111,213],[111,211],[111,208],[110,206],[110,204],[110,202],[110,201],[110,199],[110,198],[110,197],[109,195],[109,194],[109,193],[109,192],[109,185]]",1,3,0,0,5,0,0,0,1,0,0
4,2046,"[[110,328],[108,326],[105,323],[104,321],[102,318],[100,315],[98,312],[95,308],[93,305],[90,302],[88,298],[85,295],[83,292],[81,289],[78,285],[76,281],[74,277],[71,273],[69,269],[67,266],[66,263],[65,260],[63,256],[62,252],[62,248],[61,244],[60,240],[60,237],[59,233],[59,230],[59,227],[59,225],[59,223],[59,222],[59,221],[59,220],[61,219],[63,218],[65,216],[67,215],[69,214],[72,213],[75,211],[77,210],[80,210],[83,210],[85,210],[88,210],[91,210],[94,210],[98,210],[102,210],[108,211],[114,213],[118,214],[122,215],[126,215],[130,216],[135,216],[139,217],[143,217],[147,218],[152,218],[157,218],[161,218],[166,218],[170,218],[175,219],[179,219],[182,219],[185,220],[188,220],[193,220],[197,221],[201,221],[204,221],[207,221],[210,221],[212,221],[213,221],[214,221],[214,220],[214,219],[214,218],[214,217],[214,216],[213,215],[212,214],[211,213],[211,212],[210,211],[210,210],[210,209],[210,208],[210,207],[210,206],[210,205],[209,205],[208,204],[208,203],[207,202],[207,201],[207,200],[206,199],[206,198],[206,196],[206,195],[206,194],[205,194],[205,193],[204,192],[203,191],[202,191],[202,190],[201,190],[201,189],[200,189],[199,189],[197,189],[196,189]]",1,0,2,0,4,0,5,0,0,0,0
4,3538,"[[117,285],[117,278],[115,266],[113,249],[109,232],[105,216],[99,201],[93,187],[89,178],[88,172],[88,170],[88,169]]",0,2,0,1,5,0,0,0,0,0,0
4,5803,"[[203,305],[205,300],[209,293],[212,286],[214,279],[216,272],[218,264],[220,257],[222,250],[224,244],[226,236],[227,229],[228,223],[229,217],[231,211],[232,206],[234,200],[235,194],[236,189],[237,184],[238,179],[239,174],[241,170],[241,167],[242,163],[243,160],[244,157],[245,153],[245,149],[246,145],[247,142],[247,140],[248,137],[248,136],[248,134],[248,133],[248,132]]",1,0,0,0,0,0,4,0,1,0,1
